pattern,pattern_label,n,structure,trial,insert_time_s,search_hit_time_s,search_miss_time_s,height,load_factor,avg_non_empty_chain_len,collisions
Sorted,Sorted,100000,Red-Black Tree,2,0.34063670000614366,0.0018438999977661297,0.0011602000013226643,31,,,
Sorted,Sorted,100000,Red-Black Tree,3,0.38591830000223126,0.0019409999949857593,0.0011721999981091358,31,,,
Sorted,Sorted,100000,Hash Table,1,0.01662170000054175,0.0003276999996160157,0.00010679999832063913,,0.7692,1.0,0
Sorted,Sorted,100000,Hash Table,2,0.016652799997245893,0.0002623000036692247,6.439999560825527e-05,,0.7692,1.0,0
Sorted,Sorted,100000,Hash Table,3,0.015061400001286529,0.00030250000418163836,0.00010420000035082921,,0.7692,1.0,0
Adversarial,"Adversarial (BST=reverse-sorted, HT=all-same-bucket)",100000,BST,1,160.39032519999455,1.6465497000026517,3.249427499999001,100000,,,
Adversarial,"Adversarial (BST=reverse-sorted, HT=all-same-bucket)",100000,BST,2,148.9683268000008,2.01173689999996,3.846978900000977,100000,,,
Adversarial,"Adversarial (BST=reverse-sorted, HT=all-same-bucket)",100000,BST,3,123.23477700000512,1.5729025999971782,3.1192479000019375,100000,,,
Adversarial,"Adversarial (BST=reverse-sorted, HT=all-same-bucket)",100000,Red-Black Tree,1,0.19850740000401856,0.001305300000240095,0.0014780999990762211,31,,,
Adversarial,"Adversarial (BST=reverse-sorted, HT=all-same-bucket)",100000,Red-Black Tree,2,0.18015519999607932,0.0013065999955870211,0.0014264999990700744,31,,,
Adversarial,"Adversarial (BST=reverse-sorted, HT=all-same-bucket)",100000,Red-Black Tree,3,0.2672478000022238,0.0012819000039598905,0.0013954000023659319,31,,,
Adversarial,"Adversarial (BST=reverse-sorted, HT=all-same-bucket)",100000,Hash Table,1,28.17896230000042,0.2951485000012326,7.840000034775585e-05,,0.7692,100000.0,99999
Adversarial,"Adversarial (BST=reverse-sorted, HT=all-same-bucket)",100000,Hash Table,2,28.416937900001358,0.3582962000000407,0.000221800000872463,,0.7692,100000.0,99999
Adversarial,"Adversarial (BST=reverse-sorted, HT=all-same-bucket)",100000,Hash Table,3,28.90220859999681,0.28718340000341414,7.829999958630651e-05,,0.7692,100000.0,99999
